,Time,r,theta,vx,vy
0,0,89.52136572677283,1.2264946309496891,-1.6825628916323485,1.00325274986471
1,1,89.36001899084084,0.4663681070665679,0.9394865833109182,-1.4621918191487957
2,2,89.02073909584722,0.6623221243191122,0.11645256120759723,-0.7530299210498644
3,3,90.8415728117232,0.6232794400802547,-0.6552932486404945,0.793557124900929
4,4,89.7576202292299,0.44433721863989273,-0.7895473415844783,0.24862580410082283
5,5,91.38553005983799,0.8708437132663867,-0.33598699328144416,0.11580369580487747
6,6,91.55656377477507,0.9162697032474815,1.5187847672231864,0.4125437348449505
7,7,91.03911126092524,0.7808668958807728,-1.8004700386789025,0.47769161336131677
8,8,90.95454537528919,0.2426045746536204,0.5124909660912453,-0.008680603709106493
9,9,90.4609092372114,0.7180908887263179,0.6471620415653635,-0.3899508192611886
10,10,90.72737813044424,1.049142233425707,0.28046517597494924,-0.40850601532078185
11,11,90.29040021525698,1.5952851849149954,0.6275383625594313,-0.29440296285751383
12,12,90.36970185584228,0.7294583008783648,-0.30507043072701623,0.21916358564087296
13,13,90.61545485974858,0.8371207716531991,-0.8644753785925632,-0.567668355322822
14,14,90.0218955920891,0.2499248004375813,-0.9488746474384633,0.5359245994357767
15,15,90.87123060457212,-0.25572859094215517,0.18788043302246626,0.9727166504595721
16,16,88.97420641742364,1.113966515732022,0.26368970990989754,0.12220996774681775
17,17,90.65914762875227,1.1607219836427718,-1.2469732635068915,0.4693815821605961
18,18,90.73920309327879,0.9197164807417639,-0.28606033342562304,0.337523922486666
19,19,90.35801992347521,1.2302522849908275,-2.38472990597471,0.09489592357625778
20,20,89.32360926764581,0.22665558532209795,0.024332038481779027,-0.2297152420436476
21,21,91.42903755209514,0.8089111433984951,-0.8748996931901263,0.43879595643803465
22,22,89.69159193145504,0.7772636813298147,0.4752688206840767,-0.18753335938712973
23,23,90.60768114189226,-0.009689822974090267,-0.2870020435546575,-0.2014305911246785
24,24,89.33506886598747,0.5402474612824043,2.0286310835826464,0.09603206968331407
25,25,88.64593097862151,0.5209597221177814,-0.6796491739147997,-0.36414787251134295
26,26,90.7492526321101,0.47861855792910024,-0.0041587046879583145,-0.3473423629609788
27,27,91.73242227599705,0.5822600276828263,0.39027042081207,0.0887522896138884
28,28,89.46896591321392,0.6738566042999502,-0.9731448530246156,0.4222770521715937
29,29,90.94364355431458,0.16300841382669556,-0.27795383579434585,-0.2864141079870558
30,30,91.38005678614091,0.8751128695811579,0.5175694910593764,-2.4645327752744275
31,31,89.4805263656627,0.04430933565893991,-2.0320700359555954,-0.6797144460952625
32,32,91.45484338113802,1.0171789221534964,-1.4350378317255443,-1.7790017882992428
33,33,90.61510069536483,0.5421252498454658,-1.701804895712725,0.7758314735382879
34,34,89.39764681651407,0.2008349923224826,-2.626260594860185,0.5965359616937875
35,35,90.15869726968496,0.1789404689919306,-0.9142346712100209,0.7683579883965299
36,36,89.76481919751004,1.0397729109298985,-1.8960761563168766,-0.7576449701452268
37,37,88.60809241716196,1.070057903292546,-2.206904093858042,-0.3519335378748395
38,38,89.76520335096659,0.86639656956806,-2.505930725023557,0.8198743061865674
39,39,90.04925058655041,0.4303557399873732,-3.3138761424065177,1.3847667848877265
40,40,89.33782509800956,0.5578337222641016,-4.40485218378915,0.7626538260866964
41,41,88.22716938962978,0.7760151525578203,-5.613669121610856,-0.2336653229204314
42,42,87.81781693159444,0.9775706601106832,-5.146370596430925,0.38294350702178387
43,43,89.71823685350729,-0.26458252127631277,-5.249932771231843,0.32445344336097853
44,44,89.47377367647344,1.030329927221958,-4.2533015021534615,1.5963950030632008
45,45,89.28392539289669,0.8251985234373245,-3.860067454993091,0.8170532351041606
46,46,88.61043806357863,0.8481426193666193,-5.17013235228248,-0.9995911968827187
47,47,88.28583167646686,1.0537190364719562,-6.645978548264473,1.0426542794596516
48,48,87.1077912660589,0.8320690316151834,-8.146289163411277,0.756964211469564
49,49,87.4280358281276,0.5971544272358146,-6.2668852816477045,1.0044735775430156
50,50,86.88910611076084,0.18128738762547986,-7.05293834531619,0.22847984211226469
51,51,87.38580078795086,0.6227487690583644,-6.84664545679859,0.12125110863442473
52,52,87.25616323419693,0.11320389135447373,-9.348376588902363,0.5157125018000804
53,53,86.98554895704896,0.2661401292107622,-6.2609860940421305,-0.71577058701668
54,54,83.25189464733035,0.5487500345720516,-8.920513416398448,0.628299503758726
55,55,85.84932969591814,0.04753670649258668,-7.659737618434245,0.7734164652886915
56,56,86.03177412718341,0.19990080112472175,-9.27770073025222,0.9321984816777314
57,57,84.56647761303164,-0.2684603401221859,-7.86482307272972,-0.8600281657987006
58,58,84.29076863748114,0.06158673905664175,-9.566656840049195,1.4100235968475454
59,59,83.26132399242867,0.5879181757625976,-11.123942338009453,0.32765587253262907
60,60,84.81755899347108,0.8319206187607695,-11.691589342636707,0.1783424408042883
61,61,81.75776113986137,0.10222290302954534,-11.29373296562073,0.7205129577268693
62,62,82.84565747096882,0.4857457508440166,-11.967551019056977,0.10932896443067264
63,63,82.42603054938928,0.9796970465613801,-10.920339444733948,-0.9495547627840037
64,64,82.04829932549401,1.1020606809118427,-11.753058435132044,0.1472705880527365
65,65,81.47826228312124,0.5883465680252207,-11.395402101679704,0.950387944830889
66,66,80.69320944501831,0.26316733858829866,-11.317460577261436,-0.752462175056203
67,67,80.47212646028504,0.4940857932227981,-11.704736304280262,-0.38531825983350176
68,68,80.51923665224113,-0.15476555254394236,-12.359619850050548,0.5812674816406893
69,69,80.0000499765618,0.30987120708797994,-12.406695218565114,-0.8365853239316454
