,Time,X,Y,VX,VY
0.000997304916381836,0.000997304916381836,0.0,0.0,0.0,0.0
0.10323977470397949,0.10323977470397949,0.0,0.0,0.0,0.0
0.2044830322265625,0.2044830322265625,0.0,0.0,0.0,0.0
0.30620908737182617,0.30620908737182617,0.0,0.0,0.0,0.0
0.40793633460998535,0.40793633460998535,0.0,0.0,0.0,0.0
0.5096681118011475,0.5096681118011475,0.0,0.0,0.0,0.0
0.6113924980163574,0.6113924980163574,0.0,0.0,0.0,0.0
0.7131226062774658,0.7131226062774658,0.0,0.0,0.0,0.0
0.8148488998413086,0.8148488998413086,0.0,0.0,0.0,0.0
0.9175748825073242,0.9175748825073242,0.0,0.0,0.0,0.0
1.0202991962432861,1.0202991962432861,0.0,0.0,0.0,0.0
1.121544599533081,1.121544599533081,0.0,0.0,0.0,0.0
1.2228093147277832,1.2228093147277832,0.0,0.0,0.0,0.0
1.3245329856872559,1.3245329856872559,0.0,0.0,0.0,0.0
1.426262617111206,1.426262617111206,0.0,0.0,0.0,0.0
1.527998685836792,1.527998685836792,0.0,0.0,0.0,0.0
1.629262924194336,1.629262924194336,0.0,0.0,0.0,0.0
1.7309916019439697,1.7309916019439697,0.0,0.0,0.0,0.0
1.8327202796936035,1.8327202796936035,0.0,0.0,0.0,0.0
1.9354493618011475,1.9354493618011475,0.0,0.0,0.0,0.0
2.0371737480163574,2.0371737480163574,0.0,0.0,0.0,0.0
2.1389002799987793,2.1389002799987793,0.0,0.0,0.0,0.0
2.2406296730041504,2.2406296730041504,0.0,0.0,0.0,0.0
2.342355728149414,2.342355728149414,0.0,0.0,0.0,0.0
2.4440860748291016,2.4440860748291016,0.0,0.0,0.0,0.0
2.545327663421631,2.545327663421631,0.0,0.0,0.01963314414024353,7.438733882736415e-05
2.6470553874969482,2.6470553874969482,-1.5001627616584301e-05,-0.0007430054247379303,-0.0494358129799366,0.0006379400147125125
2.7492101192474365,2.7492101192474365,0.00033329834695905447,-0.007004773244261742,-0.0985533595085144,-0.007853041402995586
2.8509905338287354,2.8509905338287354,0.00037520669866353273,-0.033840665593743324,-0.450385719537735,-0.0016335631953552365
2.9527199268341064,2.9527199268341064,0.0008432874456048012,-0.09806578140705824,-0.7802233099937439,-0.0029076491482555866
3.053995370864868,3.053995370864868,0.0013650391483679414,-0.16922781709581614,-1.0270411968231201,-0.0038381018675863743
3.155723810195923,3.155723810195923,0.0022641082759946585,-0.2922367602586746,-1.3399364948272705,-0.0050155543722212315
3.256931781768799,3.256931781768799,0.0030668219551444054,-0.4013152662664652,-1.5534002780914307,-0.0058221458457410336
3.358659029006958,3.358659029006958,0.004417403251864016,-0.5870551383122802,-1.8731610774993896,-0.0070163533091545105
3.46038818359375,3.46038818359375,0.006183296674862504,-0.8280689874663949,-2.2070252895355225,-0.008285044692456722
3.562114715576172,3.562114715576172,0.00752273213583976,-1.011755677871406,-2.4415528774261475,0.020131336525082588
3.6648402214050293,3.6648402214050293,0.02306028176099062,-1.2907072827219963,-2.7212045192718506,0.23771704733371735
3.766573190689087,3.766573190689087,0.07126669818535447,-1.6026810184121132,-2.9648211002349854,0.4969419240951538
3.868298053741455,3.868298053741455,0.13400055654346943,-1.9704542830586433,-3.308588743209839,0.33870047330856323
3.9700231552124023,3.9700231552124023,0.17096017440780997,-2.331779978238046,-3.6000070571899414,0.3104764223098755
4.071750640869141,4.071750640869141,0.20633976650424302,-2.707800433970988,-3.8764727115631104,0.3215619921684265
4.173480749130249,4.173480749130249,0.23372389213182032,-3.001975608058274,-4.09145450592041,0.3347305953502655
4.275208950042725,4.275208950042725,0.2722992573399097,-3.417852431535721,-4.378468036651611,0.355250746011734
4.376686334609985,4.376686334609985,0.3150984407402575,-3.8803712828084826,-4.657989978790283,0.376860648393631
4.4784111976623535,4.4784111976623535,0.35959260165691376,-4.361618993803859,-4.707413673400879,0.3805862367153168
4.580148458480835,4.580148458480835,0.41066368226893246,-4.914146953262389,-4.8179426193237305,0.3896501362323761
4.681564092636108,4.681564092636108,0.45773614721838385,-5.42357661575079,-5.181723117828369,0.4193003475666046
4.782774448394775,4.782774448394775,0.5085737614426762,-5.973911948502064,-5.637551784515381,0.45627161860466003
4.884640216827393,4.884640216827393,0.5486744591034949,-6.407889619469643,-5.911863803863525,0.4784723222255707
4.986558198928833,4.986558198928833,0.6083337574964389,-7.05380432959646,-6.392942905426025,0.5173355340957642
5.087801933288574,5.087801933288574,0.6727369240252301,-7.751345216296613,-6.809045791625977,0.5508082509040833
5.189042568206787,5.189042568206787,0.7387535558082163,-8.466551565565169,-7.231375694274902,0.5849996209144592
5.290293455123901,5.290293455123901,0.8077550835441798,-9.214123060926795,-7.595420837402344,0.6142032742500305
5.3920204639434814,5.3920204639434814,0.880129452678375,-9.998657244257629,-7.952809810638428,0.6428689956665039
5.493746757507324,5.493746757507324,0.9560973546467721,-10.822242621332407,-8.301002502441406,0.6708145141601562
5.595473289489746,5.595473289489746,1.0337446137564257,-11.664196476340294,-8.655494689941406,0.6992651224136353
5.698204040527344,5.698204040527344,1.1175118435639888,-12.57289751432836,-8.977453231811523,0.72507244348526
5.799927234649658,5.799927234649658,1.198110170662403,-13.447309562005103,-9.29734992980957,0.7507069110870361
5.901656627655029,5.901656627655029,1.2885918177198619,-14.42921230290085,-9.624035835266113,0.7768687009811401
6.003385782241821,6.003385782241821,1.3806481257779524,-15.428424720652401,-9.954167366027832,0.8032870888710022
6.105111837387085,6.105111837387085,1.482364272000268,-16.532787394709885,-10.277791976928711,0.8291541337966919
