,Time,r,theta
59,59,55.90697998012195,-1.5137505636266064
60,60,58.08568079957436,-1.5144595764611675
61,61,59.54205662641872,-1.5149051183138558
62,62,61.009502189449464,-1.5153326686818311
63,63,62.50944552279183,-1.515749046708732
64,64,64.70178531696378,-1.5163226330183788
65,65,66.43468615496738,-1.5167485192928583
66,66,67.82851283772223,-1.5170748108596896
67,67,69.52159369754816,-1.5174521409450041
68,68,71.00830902134835,-1.517767152388928
69,69,72.17868515549375,-1.518004894726055
70,70,73.61288654209429,-1.518284567349508
71,71,74.90784652835339,-1.5185269900233236
72,72,75.6515931938355,-1.5186618599492991
73,73,76.86292113350287,-1.518874755443533
74,74,77.78985939366952,-1.5190324357229825
75,75,78.68735699786659,-1.5191815763048062
76,76,80.03905009042579,-1.5193997244759976
77,77,80.9683989896724,-1.5195455409117693
78,78,82.0806973250909,-1.519715814084834
79,79,83.22364728353213,-1.5198855907149913
80,80,84.14637423354887,-1.5200194685883004
81,81,85.26699997237935,-1.5201779353678964
82,82,86.08931758610599,-1.5202912671499402
83,83,86.97196953651759,-1.5204108846627349
84,84,87.75959711352958,-1.5205153309228663
85,85,88.84300637520748,-1.5207546747556306
86,86,90.15522308957993,-1.5217607063707697
87,87,90.74574310864703,-1.5222770996783812
88,88,91.96221884677938,-1.5233004538278636
89,89,93.06169503231106,-1.5242277745424606
90,90,93.94603807342624,-1.524966089215284
91,91,95.191943398616,-1.5263259728885408
92,92,96.20816678341266,-1.5280130758111794
93,93,97.22903245641962,-1.5302316287882949
94,94,98.05384414018927,-1.5321901277158867
95,95,99.16470009329,-1.5352214476698065
96,96,100.3031700687943,-1.5389645935023593
97,97,101.16583962905904,-1.5422183522069628
98,98,102.53219765731082,-1.548096428747217
99,99,103.4018063366377,-1.5523051283497589
100,100,104.58365949051516,-1.5586138787935109
101,101,105.66511086941533,-1.5652003098979361
102,102,106.73975856043013,-1.5725887457071601
103,103,107.51470614197399,-1.5784797782855542
104,104,108.61860313177769,-1.587744890420235
105,105,109.3539364173063,-1.5945153711519127
