,Time,r,theta
0,0,-0.014336623995258299,-2.4151496833568387
1,1,0.5650966821351451,-1.5172307717954485
2,2,1.1993280766910495,-2.1056542421527493
3,3,1.6901034727794815,-1.1720537768018484
4,4,2.212468825149663,-1.6584008753376247
5,5,3.653500165109127,-0.5689832575903925
6,6,3.9737380629678865,-2.0251879493054923
7,7,5.67555012122448,-1.2926394635767737
8,8,7.444471324436599,-2.460360171320851
9,9,8.72623875248793,-0.9727540305517047
10,10,9.850245100046934,-2.0312858758209176
11,11,12.35412682898906,-2.3557352728350933
12,12,14.879675694185469,-1.229915698339563
13,13,17.47250902998138,-0.9686258494920417
14,14,20.064051435449233,-2.240678481040759
15,15,23.398113056542424,-1.8028879696863567
16,16,26.54969019898038,-1.522630622926903
17,17,30.037509594108062,-0.717353567345503
18,18,33.27640892840212,-1.3353338370348995
19,19,37.028774370768275,-0.8815844944571716
20,20,40.131177633966125,-1.6702627268981343
21,21,45.25359622305302,-1.004307390634448
22,22,48.220378962876175,-1.7119517130581594
23,23,53.919530672958864,-1.353189466429522
24,24,58.34520325117396,-1.0377894839052744
25,25,62.71124387405332,-1.6273708001656697
26,26,69.69593876728347,-1.0045586969009803
27,27,76.07876887801582,-0.7613007941976859
28,28,80.33723498763334,-1.9390163440523809
29,29,83.1286087839579,-1.966193990264548
30,30,87.52638617770783,-1.3716687280077267
31,31,91.64428875843589,-1.743978819780624
32,32,95.3407105021066,-1.0326337003244666
33,33,100.14047417155258,-1.64545697029301
34,34,103.22098857163809,-1.1400033162976766
35,35,106.4216032583332,-1.7502738389144212
36,36,107.70309927584348,-2.023014602068626
37,37,110.1096907058807,-1.7745519233138043
38,38,112.73278848176652,-1.332363468213752
39,39,115.09042558440632,-1.1725806732834538
40,40,115.65597433034944,-1.6365535500871529
41,41,116.93249207314562,-2.0906785283731035
42,42,118.32865111528412,-1.2633425622385357
43,43,119.80984702447019,-1.46835980641388
44,44,119.89370583374587,-1.5894777133578806
45,45,121.45882452384477,-2.0455340211717803
46,46,122.38769776586079,-2.5397078593480797
47,47,122.61014124105338,1.1043299789155343
48,48,124.85584294611591,1.6216388727654827
49,49,124.48256756153992,1.840517652915603
50,50,127.70288853315084,1.6800429264702836
51,51,127.89667449876562,0.7598073997448896
52,52,128.97845657857675,1.224009594776891
53,53,129.2646874967137,1.5095630252430585
54,54,129.11954107734695,2.464471033975831
55,55,130.87338310504725,1.8396102673528287
56,56,130.5112752251155,0.25559958513231185
57,57,131.8728495462821,1.8614689586122775
58,58,132.72656282435844,1.19874559772632
59,59,134.3165400298298,1.2252221838389168
60,60,135.39564044272575,1.6006104239788634
61,61,136.54403565724255,1.2101506981496928
62,62,139.7743460928116,1.869233020299447
63,63,140.70669778434728,2.3416214716140487
64,64,144.24259015628056,1.2456123374391348
65,65,147.0331395761987,0.4886222519078066
66,66,149.40257194658582,1.504236899149779
67,67,153.53239219195993,0.3557291831612489
68,68,155.78827995806722,1.8139071031203162
69,69,159.12794710379174,1.5870556127480315
