,Time,X,Y,VX,VY
0.0,0.0,0.0,0.0,0.059757571667432785,-0.0006876926636323333
0.3361012935638428,0.3361012935638428,-0.0001896724570542574,0.008396471850574017,0.05811738222837448,-0.0006682699313387275
0.6921489238739014,0.6921489238739014,-0.000386230880394578,0.017082475125789642,0.06586974114179611,-0.0007574063492938876
1.0297589302062988,1.0297589302062988,-0.0007716913241893053,0.034095452167093754,0.3391593396663666,-0.003894881112501025
1.374316692352295,1.374316692352295,-0.0034973277943208814,0.1547730416059494,0.9754464030265808,-0.01120080053806305
1.7203969955444336,1.7203969955444336,-0.00901146256364882,0.3987108087167144,1.579694390296936,-0.01812652498483658
2.0535004138946533,2.0535004138946533,-0.017197157023474574,0.76120684761554,2.165492296218872,-0.024812981486320496
2.376281976699829,2.376281976699829,-0.027991948649287224,1.2394932163879275,2.738926410675049,-0.031323328614234924
2.7475967407226562,2.7475967407226562,-0.041332446853630245,1.8313811952248216,3.3011956214904785,-0.037667546421289444
3.097996234893799,3.097996234893799,-0.05717770871706307,2.5350525164976716,3.856224298477173,-0.0438866950571537
3.4480607509613037,3.4480607509613037,-0.0722713089780882,3.20621520280838,4.30108642578125,-0.048832908272743225
3.8609554767608643,3.8609554767608643,-0.08874173543881625,3.9394773337990046,4.460406303405762,-0.05054169148206711
4.207235336303711,4.207235336303711,-0.10927600273862481,4.8541268184781075,4.905272960662842,-0.05550799146294594
4.569270133972168,4.569270133972168,-0.13238570606335998,5.884729188866913,5.6526336669921875,-0.06379792839288712
4.911352157592773,4.911352157592773,-0.15902332589030266,7.0751781621947885,6.249812602996826,-0.07022090256214142
5.225512504577637,5.225512504577637,-0.1889843902317807,8.417065852321684,7.275956630706787,-0.08143561333417892
5.588541746139526,5.588541746139526,-0.22231734381057322,9.912998171523213,7.971843242645264,-0.08867672085762024
5.943668842315674,5.943668842315674,-0.25881309318356216,11.554150248877704,8.690998077392578,-0.09676044434309006
6.293732404708862,6.293732404708862,-0.2981824101880193,13.327006478793919,9.318211555480957,-0.10309445858001709
6.637810707092285,6.637810707092285,-0.34031894337385893,15.228810996748507,9.951781272888184,-0.10954197496175766
6.974128246307373,6.974128246307373,-0.385058777872473,17.252719326876104,10.545241355895996,-0.11557253450155258
7.31761622428894,7.31761622428894,-0.43232234090100974,19.395303424447775,11.124467849731445,-0.12139463424682617
7.654715061187744,7.654715061187744,-0.48201524978503585,21.652903706766665,11.687644958496094,-0.1269867867231369
8.040680646896362,8.040680646896362,-0.5340675980551168,24.022740738466382,12.23814582824707,-0.13238202035427094
8.403711557388306,8.403711557388306,-0.5884140490088612,26.502452057786286,12.777976989746094,-0.13760337233543396
8.733354091644287,8.733354091644287,-0.6449998860480264,29.090080535039306,13.308693885803223,-0.14266660809516907
9.059482097625732,9.059482097625732,-0.7030222145840526,31.74882614146918,13.311656951904297,-0.14223316311836243
9.496315002441406,9.496315002441406,-0.7519803744507954,33.99451442901045,13.748764038085938,-0.14663217961788177
9.852885246276855,9.852885246276855,-0.8128916246350855,36.793073010630906,14.309318542480469,-0.15193110704421997
10.195584774017334,10.195584774017334,-0.8759976691799238,39.699166969396174,14.834909439086914,-0.15672804415225983
10.522702932357788,10.522702932357788,-0.9411478403490037,42.706698874011636,15.332763671875,-0.16119271516799927
10.86977505683899,10.86977505683899,-1.019579451996833,46.33651652093977,15.913065910339355,-0.16636191308498383
